Index,url,ads
8,youtube.com,TRUE
12,twitter.com,TRUE
20,doubleclick.net,TRUE
34,fastly.net,TRUE
37,bing.com,TRUE
41,youtu.be,TRUE
42,digicert.com,TRUE
43,ui.com,TRUE
46,yahoo.com,TRUE
47,mail.ru,TRUE
53,adobe.com,TRUE
54,goo.gl,TRUE
57,spotify.com,TRUE
59,google-analytics.com,TRUE
61,vimeo.com,TRUE
63,shipt.com,TRUE
67,bit.ly,TRUE
68,msn.com,TRUE
73,intuit.com,TRUE
77,yandex.net,TRUE
79,ntp.org,TRUE
84,qq.com,TRUE
89,opera.com,TRUE
98,yandex.ru,TRUE
100,baidu.com,TRUE
101,amazon-adsystem.com,TRUE
106,nih.gov,TRUE
107,tumblr.com,TRUE
109,nic.ru,TRUE
120,sberdevices.ru,TRUE
123,nytimes.com,TRUE
128,webex.com,TRUE
130,criteo.com,TRUE
131,flickr.com,TRUE
133,samsung.com,TRUE
141,vk.com,TRUE
147,zemanta.com,TRUE
149,rubiconproject.com,TRUE
151,tds.net,TRUE
153,amazonvideo.com,TRUE
154,salesforce.com,TRUE
159,cnn.com,TRUE
167,theguardian.com,TRUE
170,ebay.com,TRUE
172,forbes.com,TRUE
180,taboola.com,TRUE
183,bbc.co.uk,TRUE
184,pubmatic.com,TRUE
191,slack.com,TRUE
195,mcafee.com,TRUE
199,rambler.ru,TRUE
200,bbc.com,TRUE
201,att.com,TRUE
206,doubleverify.com,TRUE
207,imdb.com,TRUE
208,mit.edu,TRUE
210,cisco.com,TRUE
214,nginx.com,TRUE
216,twitch.tv,TRUE
223,smartadserver.com,TRUE
224,who.int,TRUE
228,scorecardresearch.com,TRUE
231,userapi.com,TRUE
237,amazon.co.uk,TRUE
243,android.com,TRUE
248,tinyurl.com,TRUE
251,openx.net,TRUE
253,hipages.com.au,TRUE
256,comfortel.pro,TRUE
258,weebly.com,TRUE
259,washingtonpost.com,TRUE
265,trendmicro.com,TRUE
267,shopify.com,TRUE
268,harvard.edu,TRUE
270,dailymail.co.uk,TRUE
273,go.com,TRUE
274,3lift.com,TRUE
277,sharethrough.com,TRUE
278,avast.com,TRUE
281,dnsmadeeasy.com,TRUE
285,force.com,TRUE
289,linktr.ee,TRUE
290,espn.com,TRUE
291,drom.ru,TRUE
293,reg.ru,TRUE
299,vungle.com,TRUE
300,bloomberg.com,TRUE
302,etsy.com,TRUE
306,wsj.com,TRUE
310,nature.com,TRUE
311,wbx2.com,TRUE
314,branch.io,TRUE
317,businessinsider.com,TRUE
319,eset.com,TRUE
320,adriver.ru,TRUE
322,indeed.com,TRUE
323,crashlytics.com,TRUE
326,checkpoint.com,TRUE
327,un.org,TRUE
329,weather.com,TRUE
330,unsplash.com,TRUE
334,yahoo.co.jp,TRUE
335,dotomi.com,TRUE
337,dailymotion.com,TRUE
342,stanford.edu,TRUE
346,nasa.gov,TRUE
357,cnbc.com,TRUE
361,ea.com,TRUE
362,stackoverflow.com,TRUE
365,netangels.ru,TRUE
368,cpanel.net,TRUE
369,sophos.com,TRUE
373,foxnews.com,TRUE
380,1c.ru,TRUE
387,npr.org,TRUE
388,wix.com,TRUE
389,aliexpress.com,TRUE
393,sohu.com,TRUE
395,time.com,TRUE
396,usatoday.com,TRUE
398,walmart.com,TRUE
404,taobao.com,TRUE
408,g.page,TRUE
411,robinhood.com,TRUE
415,arubanetworks.com,TRUE
421,hostgator.com,TRUE
422,pixabay.com,TRUE
424,autodesk.com,TRUE
427,cnet.com,TRUE
432,ups.com,TRUE
433,aol.com,TRUE
435,scribd.com,TRUE
436,healthline.com,TRUE
443,nvidia.com,TRUE
444,bitrix24.ru,TRUE
446,dzen.ru,TRUE
447,speedtest.net,TRUE
451,naver.com,TRUE
452,wired.com,TRUE
454,ngenix.net,TRUE
455,alibaba.com,TRUE
458,ok.ru,TRUE
459,mayoclinic.org,TRUE
460,ted.com,TRUE
468,indiatimes.com,TRUE
471,viber.com,TRUE
473,gosuslugi.ru,TRUE
474,deepintent.com,TRUE
478,imgsmail.ru,TRUE
481,hotjar.com,TRUE
483,disqus.com,TRUE
485,newrelic.com,TRUE
